q,sum_reward,lb,ub,num_regress,lb,ub,avg_regress,lb,ub
1e-06,30074.797716311525,28834.01317005017,31315.58226257288,145975.6,144332.07575399347,147619.12424600654,-0.018429761469245937,-0.02245926336876341,-0.014400259569728466
5e-06,35114.29678378753,34027.34122288542,36201.252344689645,141781.2,140509.96774442654,143052.43225557348,-0.006929898751726694,-0.008933074159415815,-0.004926723344037574
1e-05,36080.17711464586,35095.70979596178,37064.644433329944,142370.34,139856.79892115755,144883.88107884245,-0.006094874107197383,-0.007794118886211863,-0.0043956293281829035
5e-05,41399.56040876659,40404.57841383979,42394.5424036934,125551.06,117764.96985453744,133337.15014546257,-0.002925419115769747,-0.0033970103036781306,-0.0024538279278613633
0.0001,43129.401355224916,42089.81410876186,44168.988601687975,109815.2,102043.69861805966,117586.70138194034,-0.002552589053289906,-0.002785073300170961,-0.002320104806408851
0.0005,50518.58830982502,49193.77746501305,51843.39915463699,51904.22,47835.68054450641,55972.75945549359,-0.0035090471916528893,-0.003799274892933681,-0.0032188194903720975
0.001,55082.09851395857,53854.93561624971,56309.26141166742,46783.26,44339.19002606901,49227.329973930995,-0.003907878173538508,-0.004148471863539643,-0.003667284483537373
0.002,57593.301781252194,56457.56478906879,58729.0387734356,41722.16,39710.72260083358,43733.59739916643,-0.004706629730990876,-0.004934622648794609,-0.004478636813187143
0.003,59732.39534510882,58703.83970078703,60760.9509894306,41839.14,40477.52627130334,43200.75372869666,-0.00452480208004454,-0.004773295928475228,-0.004276308231613853
0.004,60894.629355212935,59737.104203501905,62052.154506923966,41107.04,39596.021372990406,42618.058627009596,-0.005152016828379255,-0.005483484167150888,-0.004820549489607621
0.005,61449.7767071453,60516.06138309689,62383.49203119371,41873.3,40716.795846267254,43029.80415373275,-0.004648032250736179,-0.00487259459807593,-0.004423469903396428
0.006,62598.08407311676,61567.066880787,63629.10126544652,41013.78,39872.189792939454,42155.37020706054,-0.00523454117343627,-0.005602073295108478,-0.004867009051764062
0.007,62506.64538888877,61442.27633442488,63571.01444335266,40717.22,39553.25604728834,41881.18395271166,-0.005347360548824347,-0.005718190897801758,-0.004976530199846936
0.008,63156.38465214209,62235.45841432717,64077.310889957014,41480.94,40332.682867241536,42629.19713275847,-0.0056582656457405765,-0.006047868689177517,-0.005268662602303636
0.009,64249.64439717511,63306.93612324363,65192.352671106586,40327.4,39421.82674334754,41232.97325665246,-0.005607935290057365,-0.006049879068717249,-0.005165991511397481
0.01,65375.02000761866,64642.91476559406,66107.12524964326,40070.56,39019.84702004772,41121.27297995228,-0.005620500685321005,-0.005965553848847955,-0.005275447521794056
0.02,70664.9122322475,69829.54168604568,71500.28277844933,41265.76,40339.134715791166,42192.38528420884,-0.006730733642647242,-0.007196710915970939,-0.006264756369323545
0.03,72962.59256132529,72021.29531463055,73903.88980802003,41120.56,40282.93016828871,41958.18983171129,-0.007509922171315283,-0.00795700291819682,-0.007062841424433745
0.04,75532.63106182672,74800.19668882809,76265.06543482534,42221.28,41333.6876281454,43108.872371854595,-0.007975487924099977,-0.008453865132084624,-0.007497110716115329
0.05,76640.60412916703,75843.37999576068,77437.82826257337,41746.96,40752.7924569644,42741.127543035596,-0.009379936015146709,-0.010103336083713381,-0.008656535946580037
0.06,77637.46278929753,77003.62026098062,78271.30531761443,42182.82,41391.93240535108,42973.70759464892,-0.009595427763822207,-0.01029951581965416,-0.008891339707990255
0.07,78125.9989486463,77408.18562345815,78843.81227383445,42334.56,41564.88759855244,43104.23240144755,-0.010132190229688047,-0.010908775103215746,-0.009355605356160349
0.08,79306.57873414445,78781.63274348014,79831.52472480877,41944.88,40977.45126346038,42912.30873653961,-0.010251205530582196,-0.01091591546326981,-0.009586495597894581
0.09,79652.82876322886,79058.13435694117,80247.52316951654,42344.82,41630.821177877966,43058.81882212203,-0.01051764031062342,-0.011131633287705923,-0.009903647333540915
0.1,79877.09184530123,79288.28773355688,80465.89595704558,43110.8,42475.60205963483,43745.997940365174,-0.011058157675154067,-0.011872591163847864,-0.01024372418646027
0.2,82211.21993357464,81665.31960143232,82757.12026571696,44848.5,44469.5599646932,45227.4400353068,-0.013276911757162646,-0.014286366647319283,-0.012267456867006008
0.3,83759.75577470221,83310.94915335938,84208.56239604503,47752.6,47218.70881303713,48286.49118696287,-0.016946715987326656,-0.018599514482020123,-0.01529391749263319
0.4,84634.7314422336,84174.57935630748,85094.88352815973,52193.94,51350.30821357397,53037.57178642604,-0.02490664476191535,-0.0269862425018112,-0.022827047022019497
0.5,86222.4262472568,85687.925758498,86756.9267360156,56648.36,55732.67185230611,57564.04814769389,-0.03248218401580974,-0.035270015790997526,-0.029694352240621953
